OrderID,CategoryID,ProductID,UnitPrice_x,Quantity,Discount,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductName,SupplierID,QuantityPerUnit,UnitPrice_y,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CompanyName,ContactName,ContactTitle,Address_x,City_x,Region_x,PostalCode_x,Country_x,Phone,Fax,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address_y,City_y,Region_y,PostalCode_y,Country_y,HomePhone,Extension,ReportsTo
10248,4,11,14,12,0,VINET,5,04-07-1996,35278.00,16-07-1996,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Queso Cabrales,5,1 kg pkg.,21,22,30,30,FALSE,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,Buchanan,Steven,Sales Manager,Mr.,04-03-1955,17-10-1993,14 Garrett Hill,London,Unknown,SW1 8JR,UK,(71) 555-4848,3453,2
10248,5,42,9.8,10,0,VINET,5,04-07-1996,01-08-1996,16 July 1996,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Singaporean Hokkien Fried Mee,20,32 - 1 kg pkgs.,14,26,0,0,TRUE,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,Buchanan,Steven,Sales Manager,Mr.,04-03-1955,17-10-1993,14 Garrett Hill,London,Unknown,SW1 8JR,UK,(71) 555-4848,3453,2
10248,4,72,34.8,5,0,VINET,5,04-07-1996,35278.00,16-07-1996,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Mozzarella di Giovanni,14,24 - 200 g pkgs.,34.8,14,0,0,FALSE,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,Buchanan,Steven,Sales Manager,Mr.,04-03-1955,17-10-1993,14 Garrett Hill,London,Unknown,SW1 8JR,UK,(71) 555-4848,3453,2
10249,7,14,18.6,9,0,TOMSP,6,05-07-1996,16-08-1996,10-07-1996,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Unknown,44087,Germany,Tofu,6,40 - 100 g pkgs.,23.25,35,0,0,FALSE,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695,Suyama,Michael,Sales Representative,Mr.,02-07-1963,17-10-1993,"Coventry House_x000D_
Miner Rd.",London,Unknown,EC2 7JR,UK,(71) 555-7773,428,5
10249,7,51,42.4,40,0,TOMSP,6,05-07-1996,16-08-1996,10-07-1996,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Unknown,44087,Germany,Manjimup Dried Apples,24,50 - 300 g pkgs.,53,20,0,10,FALSE,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695,Suyama,Michael,Sales Representative,Mr.,02-07-1963,17-10-1993,"Coventry House_x000D_
Miner Rd.",London,Unknown,EC2 7JR,UK,(71) 555-7773,428,5
10250,8,41,7.7,10,0,HANAR,4,08-07-1996,05-08-1996,12-07-1996,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Jack's New England Clam Chowder,19,12 - 12 oz cans,9.65,85,0,10,FALSE,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,Peacock,Margaret,Sales Representative,Mrs.,19-09-1937,03-05-1993,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,2
10250,7,51,42.4,35,0.150000006,HANAR,4,08-07-1996,05-08-1996,12-07-1996,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Manjimup Dried Apples,24,50 - 300 g pkgs.,53,20,0,10,FALSE,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,Peacock,Margaret,Sales Representative,Mrs.,19-09-1937,03-05-1993,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,2
10250,2,65,16.8,15,0.150000006,HANAR,4,08-07-1996,05-08-1996,12-07-1996,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Louisiana Fiery Hot Pepper Sauce,2,32 - 8 oz bottles,21.05,76,0,0,FALSE,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,Peacock,Margaret,Sales Representative,Mrs.,19-09-1937,03-05-1993,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,2
10251,5,22,16.8,6,0.050000001,VICTE,3,08-07-1996,05-08-1996,15-07-1996,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,Gustaf's Knäckebröd,9,24 - 500 g pkgs.,21,104,0,25,FALSE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,Leverling,Janet,Sales Representative,Ms.,30-08-1963,01-04-1992,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,2
10251,5,57,15.6,15,0.050000001,VICTE,3,08-07-1996,05-08-1996,15-07-1996,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,Ravioli Angelo,26,24 - 250 g pkgs.,19.5,36,0,20,FALSE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,Leverling,Janet,Sales Representative,Ms.,30-08-1963,01-04-1992,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,2
